trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
277,False,"{'a': 0.34599999999999953, 'e': 6.752096880505444e-07}",25,11,29.924228046164785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.34399999999999953, 'e': 6.414492036480171e-07}",20,10,19.539669255347807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.3419999999999995, 'e': 6.093767434656163e-07}",20,2,27.657386861843168,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.3399999999999995, 'e': 5.789079062923354e-07}",20,8,22.138430494840534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.3379999999999995, 'e': 5.499625109777186e-07}",20,14,13.028655448269028,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.3359999999999995, 'e': 5.224643854288326e-07}",20,14,10.890645913134945,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.3339999999999995, 'e': 4.96341166157391e-07}",20,15,7.811577604550859,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.3319999999999995, 'e': 4.715241078495214e-07}",25,15,18.744121595880706,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.3299999999999995, 'e': 4.479479024570453e-07}",20,12,16.089454935550126,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.3279999999999995, 'e': 4.2555050733419307e-07}",20,7,26.525022589231803,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.3259999999999995, 'e': 4.042729819674834e-07}",30,12,32.20777799591001,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.3239999999999995, 'e': 3.840593328691092e-07}",25,10,28.177462145085634,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.3219999999999995, 'e': 3.648563662256537e-07}",30,21,18.246224621256747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.3199999999999995, 'e': 3.46613547914371e-07}",35,21,23.61182829232142,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.3179999999999995, 'e': 3.2928287051865244e-07}",20,15,7.963942633787551,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.3159999999999995, 'e': 3.128187269927198e-07}",25,15,20.66477390419505,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.3139999999999995, 'e': 2.971777906430838e-07}",25,15,20.626428262570844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.3119999999999995, 'e': 2.823189011109296e-07}",30,10,38.81915347246613,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.3099999999999995, 'e': 2.682029560553831e-07}",20,0,28.321460911618075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
296,False,"{'a': 0.3079999999999995, 'e': 2.5479280825261396e-07}",25,8,26.202850910940104,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.3059999999999995, 'e': 2.420531678399832e-07}",30,21,15.890298429441945,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.3039999999999995, 'e': 2.2995050944798406e-07}",25,11,24.69158017423567,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
